input_dim,num_heads,ffn_dim,num_layers,depthwise_conv_kernel_size,dropout,use_group_norm,convolution_first,lr,gen_path,dis_path,device,batch_size,clip_value,data_len,epochs,early_stop,train_loss,loss_ratio
722,2,512,8,7,0.4,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0021886894469723677,1.054076055649763
722,2,128,8,5,0.1,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0027665567953294268,1.000619132616194
722,2,128,8,5,0.3,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.002765796059138549,1.0003938618520014
722,2,64,4,3,0.0,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027663147994897333,1.0003819819785924
722,1,512,8,5,0.2,False,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002765519672427505,1.000343766979287
722,1,256,4,3,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027663148024652047,1.0003321188369174
722,1,256,8,3,0.0,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0027688384735242676,1.000197742738088
722,1,256,4,5,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002765899952188634,1.0001821035387481
722,2,128,2,3,0.3,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831151735272627,1.0000659199744537
722,2,256,2,3,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831331853579266,1.0000616850464648
722,1,64,2,5,0.3,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013831326190885096,1.0000581025857513
722,1,512,4,7,0.4,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.002765415958649577,1.0000569337718686
722,2,512,2,3,0.4,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831297462707916,1.0000560811888801
722,2,256,8,7,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013831332156705423,1.00005572873747
722,1,512,4,3,0.4,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013831272139585913,1.0000545477992453
722,2,256,8,5,0.4,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831340644237832,1.0000523008523685
722,1,256,8,7,0.3,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.00138310870950143,1.0000502744904511
722,2,512,8,7,0.3,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831110835557405,1.0000430393059883
722,1,512,4,7,0.3,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013831029004512576,1.0000407898993433
722,2,64,2,3,0.1,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.001383069484046818,1.0000402155636205
722,2,512,4,7,0.2,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830904832508521,1.0000374408345143
722,2,128,4,3,0.3,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013831025698019888,1.0000369039051018
722,2,128,4,3,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0027667296519979074,1.0000335074086562
722,2,512,4,5,0.0,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002766141948028328,1.0000203789813504
722,1,256,8,3,0.3,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830157420107018,1.0000179799283002
722,2,512,4,7,0.0,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013830383648923315,1.000017708159024
722,1,256,8,7,0.2,True,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830914738968895,1.0000176516412504
722,2,64,4,5,0.1,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830793343451672,1.000017031675405
722,2,64,8,7,0.1,True,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830758193835093,1.000016047178308
722,2,256,4,5,0.1,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.001383069518450707,1.0000146395772658
722,2,512,4,3,0.1,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830726966261864,1.0000140782858817
722,2,128,2,3,0.2,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830140298128294,1.0000140385518745
722,1,64,4,7,0.1,True,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830034369483781,1.0000129149925114
722,1,512,8,7,0.4,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830143967256568,1.0000120557318637
722,1,64,2,7,0.3,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830175431007847,1.0000115909964697
722,1,64,4,7,0.3,False,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.001383012417293252,1.0000112206788516
722,2,128,4,5,0.3,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.001383007776673538,1.0000110210332176
722,2,128,2,5,0.4,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830184193771367,1.000008184663734
722,2,512,8,3,0.0,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830502161952538,1.0000079163062545
722,2,512,8,5,0.1,False,True,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.0013830582641017513,1.0000078983346692
722,2,64,4,3,0.3,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830159339286124,1.0000067253067304
722,2,64,2,5,0.2,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.001383015336974646,1.0000065976708015
722,1,256,4,3,0.0,False,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830083981751444,1.000006557598387
722,1,128,4,7,0.2,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830115255816413,1.0000062577025457
722,1,512,4,5,0.4,True,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830126927103312,1.000005782135515
722,2,512,8,3,0.3,False,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830133501035622,1.00000549827897
722,2,256,8,3,0.1,True,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830052423157012,1.0000048075693149
722,1,256,4,3,0.0,False,False,0.0001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830511000962518,1.0000047305854776
722,2,256,4,5,0.3,False,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830158243940684,1.0000020636237927
722,2,128,2,3,0.1,True,True,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830117344225462,1.0000018589190807
722,2,512,4,3,0.0,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830095277385067,1.0000016782512609
722,1,512,8,7,0.1,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830076890830963,1.0000013106431236
722,2,64,8,7,0.1,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0013830057098366583,0.9999993165664816
722,2,256,2,3,0.0,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0013830039987545878,0.9999986621416606
722,2,256,2,5,0.1,False,False,0.001,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0013830118716661685,0.9999958434016114
722,1,128,8,5,0.1,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027658999507008983,0.9999827251981506
722,1,512,4,3,0.3,False,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.002766245661434322,0.9999582128146658
722,1,512,2,3,0.1,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.002768976757073769,0.9998991754134325
722,2,64,4,7,0.2,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.0027643788350037875,0.9998812474924514
722,2,256,4,5,0.3,False,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.002766245659574652,0.999858568509137
722,2,256,4,3,0.0,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,32,10,5,0.002768147056520628,0.9998484075340383
722,1,512,8,5,0.0,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027682161986673126,0.9997738267739799
722,2,256,2,7,0.2,False,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.002767351926482928,0.9997603141062514
722,1,512,2,3,0.0,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0027678359177903816,0.9996862519211418
722,2,128,2,7,0.3,True,True,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.002764897398686352,0.9996202617401999
722,1,64,8,3,0.1,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,4,10,5,0.002765272237054004,0.999407137080443
722,2,128,2,5,0.1,False,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.0027648628151532226,0.9992591674873613
722,1,128,4,3,0.4,True,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,16,10,5,0.0020721174846105752,0.9989215139984717
722,1,256,2,5,0.3,False,False,0.01,data/models/gen.pth,data/models/dis.pth,cuda,128,1,8,10,5,0.002491242696379368,0.9014918902376874
